vendor_id,name,payment_terms,category
V001,CloudRail Hosting,Net30,Hosting
V002,Northstar CRM Soft,Net30,Software
V003,Beacon Marketing Co,Net45,Marketing
V004,Austin Workspace REIT,Due on receipt,Facilities
V005,PixelForge Laptops,Net30,Hardware
V006,Summit Legal LLP,Net30,Professional
V007,PayCore Payroll Inc,Due on receipt,Payroll
V008,Delta Travel Desk,Net15,T&E
V009,SecureShield MSSP,Net30,Security
V010,OfficeKit Supplies,Net30,Office
V011,DataPipe Analytics,Net30,Software
V012,BrightLine Recruiting,Net30,HR
V013,City Utilities Austin,Net15,Utilities
V014,Kontrol Audit Partners,Net30,Professional
V015,Slackline Collab,Net30,Software
V016,Zoomspan Comms,Net30,Software
V017,FleetCourier Express,Net30,Logistics
V018,GreenLeaf Catering,Net15,Facilities
